ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
A1912723|31-539|Kraków|al. Powstania Warszawskiego[al.Powst.Warszawskiego]|15||MAŁOPOLSKIE|Kraków|Kraków
A1928824|31-539|Kraków|al. Powstania Warszawskiego[al.Powst.Warszawskiego]|15||MAŁOPOLSKIE|Kraków|Kraków
A1243976|64-920|Piła|al. Powstańców Wielkopolskich[al.Powstańców Wielkop.]|18||WIELKOPOLSKIE[]|pilski[]|Piła[]
A1623540|64-920|Piła|al. Powstańców Wielkopolskich[Al.Powstańców Wlkp]|14|1|WIELKOPOLSKIE|pilski|Piła
A10882|85-796|Bydgoszcz|al. Kaliskiego[Al.prof. S. Kaliskiego]|7||KUJAWSKO-POMORSKIE[]|Bydgoszcz[]|Bydgoszcz[]
ZA1333563|35-329|Rzeszów|al. Krzyżanowskiego[Al.Prof.Krzyżanowskiego]|26|36|PODKARPACKIE|Rzeszów|Rzeszów
A1299459|20-037[20-950]|Lublin|al. Racławickie[al.Racławickie]|14||LUBELSKIE[]|Lublin[]|Lublin[]
A1961908|20-037|Lublin|al. Racławickie[al.Racławickie]|24|68|LUBELSKIE[]|Lublin[]|Lublin[]
A1482176|20-037[20-950]|Lublin|al. Racławickie[Al.Racławickie]|14||LUBELSKIE[]|Lublin[]|Lublin[]
A1607132|20-037|Lublin|al. Racławickie[Al.Racławickie]|12||LUBELSKIE[]|Lublin[]|Lublin[]
A1624166|20-059|Lublin|al. Racławickie[Al.Racławickie]|1||LUBELSKIE[]|Lublin[]|Lublin[]
A1797606|20-037|Lublin|al. Racławickie[Al.Racławickie 12]|12[]||LUBELSKIE[]|Lublin[]|Lublin[]
A21624166|20-059|Lublin|al. Racławickie[Al.Racławickie]|1||LUBELSKIE[]|Lublin[]|Lublin[]
A1621127|20-147|Lublin|al. Spółdzielczości Pracy[Al.Spółdziel.Pracy]|47||LUBELSKIE[]|Lublin[]|Lublin[]
